u,v,weight
728739,421091,9.3505
870179,200499,9.3510
779987,110771,9.3514
150707,102355,9.3517
254051,23587,9.3517
814963,413635,9.3530
863427,638947,9.3542
939043,300115,9.3543
72675,705539,9.3545
404899,471059,9.3550
856819,674899,9.3553
257539,105619,9.3566
634915,97715,9.3587
481411,417507,9.3595
204387,651283,9.3605
42515,2643,9.3621
7315,748995,9.3627
321411,69459,9.3634
638723,343971,9.3657
3059,165699,9.3666
396435,624371,9.3706
524867,370675,9.3708
698355,79507,9.3708
831859,350035,9.3732
520883,618787,9.3736
42851,689539,9.3737
103155,37587,9.3738
623107,339523,9.3759
526019,731347,9.3759
619443,412707,9.3761
808003,803843,9.3767
326259,224291,9.3789
885283,135875,9.3832
538403,269507,9.3874
895379,659459,9.3895
254563,230051,9.3912
846419,303571,9.3913
796355,389619,9.3919
241891,52819,9.3976
782403,272339,9.3981
373027,299907,9.3993
734691,558531,9.3994
388579,40579,9.3995
168883,96243,9.3996
606067,448179,9.4003
282003,258467,9.4011
905731,857571,9.4046
127939,119027,9.4077
454419,55283,9.4137
484147,238579,9.4142
326819,967875,9.4157
48067,421091,9.4174
38067,33827,9.4213
462147,111267,9.4243
470979,665571,9.4251
978515,605843,9.4255
13411,303635,9.4260
79619,713651,9.4266
730947,310819,9.4269
172723,883,9.4272
451635,334371,9.4277
396611,702291,9.4280
384019,397251,9.4305
16419,9219,9.4314
893075,478051,9.4315
77827,139955,9.4316
979731,960179,9.4320
186787,373491,9.4333
413379,184947,9.4343
644531,119955,9.4348
793523,285859,9.4376
333923,785011,9.4390
811811,619347,9.4415
343395,317139,9.4437
695347,506451,9.4454
808579,338675,9.4461
409635,52499,9.4464
210579,299459,9.4480
156691,245443,9.4489
161315,6595,9.4501
659955,397939,9.4504
199123,115555,9.4505
485155,816195,9.4507
863859,809795,9.4511
778419,204099,9.4518
238227,94403,9.4523
122707,91459,9.4525
707443,104611,9.4526
418147,106563,9.4528
474019,115027,9.4532
82547,639971,9.4543
787507,825411,9.4559
338499,74787,9.4592
131747,592643,9.4595
395587,20611,9.4599
657347,640643,9.4604
728019,535411,9.4605
984947,248099,9.4611
838675,24659,9.4624
759171,382323,9.4634
523587,461203,9.4639
751683,265443,9.4642
531971,398243,9.4654
670835,292467,9.4673
267859,41667,9.4703
785155,290547,9.4714
354403,167587,9.4723
116995,95875,9.4749
117651,3699,9.4753
742627,13795,9.4758
571363,184227,9.4762
216147,213443,9.4771
657635,277811,9.4774
723715,988451,9.4781
769283,679507,9.4810
129683,653363,9.4820
12307,321827,9.4822
137299,833571,9.4854
554851,13987,9.4860
211747,85907,9.4890
83251,42723,9.4891
94803,58883,9.4905
548467,287987,9.4915
917107,298179,9.4917
883459,728627,9.4921
454499,158115,9.4940
117235,61859,9.4953
963235,227539,9.4954
959475,850147,9.4961
574099,124755,9.4965
913651,431955,9.4984
85395,333171,9.5022
537299,828131,9.5035
806931,185475,9.5042
733363,156067,9.5044
136019,102723,9.5046
941507,873139,9.5053
577619,816195,9.5060
233955,82595,9.5094
9155,7267,9.5095
82195,992963,9.5112
598835,909219,9.5123
944723,264067,9.5159
992323,487459,9.5161
802867,113267,9.5182
773107,205395,9.5193
633747,434131,9.5203
619075,378547,9.5222
562707,477091,9.5227
794627,729219,9.5232
27235,19123,9.5259
728259,194515,9.5270
709795,650243,9.5273
759587,135971,9.5283
690019,483795,9.5296
145427,35667,9.5297
462387,210787,9.5302
133875,125219,9.5305
177539,94515,9.5310
313859,251059,9.5310
41395,169251,9.5312
575555,111555,9.5314
96531,792627,9.5321
194355,184355,9.5334
142851,69539,9.5342
663011,973923,9.5342
260883,915619,9.5344
751187,364115,9.5353
426275,891875,9.5367
909475,801043,9.5372
511027,882691,9.5372
824995,978579,9.5375
147619,173011,9.5396
674899,463299,9.5401
895219,554771,9.5401
991299,916275,9.5407
453491,295331,9.5414
395075,653443,9.5422
928915,287987,9.5425
727123,134067,9.5459
358195,311971,9.5464
364371,449603,9.5496
898291,496195,9.5514
862035,184083,9.5535
660323,469411,9.5549
655715,178179,9.5550
926435,104099,9.5553
615331,172803,9.5555
684755,36771,9.5566
686339,482755,9.5567
530707,361507,9.5583
533491,681139,9.5598
184115,111299,9.5598
503683,340547,9.5604
269523,799731,9.5605
526323,114803,9.5617
165763,107411,9.5619
462099,391491,9.5619
922611,118995,9.5639
495459,617907,9.5672
506483,9875,9.5673
774803,297939,9.5685
751795,614275,9.5697
483763,234659,9.5707
63315,47763,9.5715
102915,241523,9.5723
535555,430243,9.5726
205059,159235,9.5728
658163,197539,9.5732
113779,736323,9.5733
291075,9075,9.5756
887427,767443,9.5761
506195,907907,9.5763
440435,165971,9.5766
380371,129459,9.5769
815779,362707,9.5799
395747,329875,9.5812
528531,47187,9.5836
227971,285379,9.5841
999235,704403,9.5874
616787,608995,9.5878
542323,165379,9.5919
387347,966499,9.5932
921267,527107,9.5948
670467,611203,9.5958
132995,383171,9.5972
124467,135891,9.5981
769075,202691,9.5982
984531,286707,9.5990
797411,543123,9.5997
107891,80579,9.6075
892515,593395,9.6076
524691,497539,9.6076
186291,42675,9.6088
400307,31587,9.6128
184499,68563,9.6150
937731,732179,9.6176
232851,487219,9.6189
462035,549923,9.6191
123539,13731,9.6203
812787,85779,9.6205
515859,368179,9.6223
485955,213043,9.6242
549347,569795,9.6253
467411,221475,9.6266
831443,672963,9.6266
984131,906963,9.6269
713411,487667,9.6287
289267,178563,9.6293
382531,148771,9.6295
836147,402339,9.6300
966723,45715,9.6303
278035,272195,9.6321
779443,11395,9.6330
399555,272451,9.6338
991971,752611,9.6339
705779,459235,9.6364
481779,263235,9.6376
975139,245619,9.6380
667571,998979,9.6387
12467,5539,9.6396
843875,794227,9.6408
165235,657155,9.6413
284883,258051,9.6426
113075,317187,9.6426
417107,857379,9.6427
161491,150611,9.6468
588323,326643,9.6480
114915,392803,9.6494
553235,313987,9.6526
649635,214387,9.6538
814755,621059,9.6544
490387,61827,9.6550
360803,973763,9.6557
419667,270739,9.6565
506163,653411,9.6578
909715,486803,9.6588
666403,77171,9.6620
847251,554819,9.6623
283123,90979,9.6633
150131,107539,9.6645
497299,286115,9.6664
31331,6563,9.6665
249443,575155,9.6668
167571,145139,9.6672
600947,312707,9.6677
9059,705363,9.6683
640771,94467,9.6696
797027,48531,9.6704
202243,155571,9.6715
588179,60403,9.6715
542483,460835,9.6739
604995,698323,9.6743
915011,478771,9.6751
980467,351411,9.6763
658515,592531,9.6766
818691,167283,9.6780
344179,381603,9.6796
503939,527987,9.6824
501475,6659,9.6833
946611,370275,9.6837
593635,279315,9.6849
559475,199203,9.6852
803587,266131,9.6873
781555,483283,9.6901
177955,483795,9.6932
785251,592003,9.6936
733155,840307,9.6938
581219,221891,9.6938
12163,942595,9.6942
785651,57283,9.6943
956323,632947,9.6975
284675,986163,9.6975
300115,148851,9.6977
280627,319107,9.6992
588371,282403,9.7001
742851,757155,9.7009
535187,339363,9.7012
417987,73667,9.7012
276627,186627,9.7016
31923,658499,9.7025
352403,120163,9.7028
728963,170867,9.7040
601267,902467,9.7040
701459,583731,9.7052
921827,566563,9.7067
556515,286483,9.7068
138019,34803,9.7080
507571,811507,9.7096
184531,25155,9.7097
571427,13539,9.7104
448259,415363,9.7111
4211,1107,9.7114
622035,238739,9.7117
557075,312723,9.7132
159427,60483,9.7134
127123,158643,9.7137
312739,222915,9.7144
439027,316547,9.7165
74435,709187,9.7186
472803,752403,9.7189
617955,76275,9.7197
139891,396195,9.7200
942723,438419,9.7237
370291,86227,9.7240
602707,82371,9.7243
31043,30275,9.7248
263939,334019,9.7251
39795,460179,9.7254
611283,712275,9.7255
886563,460899,9.7257
374979,510707,9.7267
56003,523315,9.7270
953907,521235,9.7271
420451,76739,9.7308
522979,312035,9.7308
606691,91875,9.7315
636659,537267,9.7319
363683,719139,9.7353
327811,162403,9.7356
715491,596819,9.7375
951715,540227,9.7409
821635,98931,9.7423
514643,640515,9.7425
481571,865011,9.7438
93347,32803,9.7459
791683,961635,9.7493
466803,375507,9.7499
930067,556723,9.7500
194531,549091,9.7517
244051,69939,9.7517
455139,48003,9.7525
979683,853139,9.7540
93203,562819,9.7541
244131,126675,9.7552
808467,248835,9.7569
331027,815299,9.7579
470323,981091,9.7586
22499,107907,9.7607
717699,992211,9.7610
205203,920995,9.7622
607571,669603,9.7652
396291,161187,9.7659
764483,905923,9.7659
34371,22995,9.7666
914291,726611,9.7666
933763,377315,9.7675
895715,96787,9.7676
728547,165523,9.7696
833155,649635,9.7701
634675,473123,9.7723
626371,55747,9.7728
862467,474355,9.7731
281971,64003,9.7737
509395,956195,9.7742
212147,949939,9.7754
389107,361955,9.7758
283971,172851,9.7770
341075,130803,9.7777
539379,895107,9.7806
788227,510851,9.7824
778259,521379,9.7824
962707,326515,9.7834
207971,787699,9.7836
864339,559619,9.7859
458243,437219,9.7859
575331,112099,9.7876
734243,969875,9.7889
991587,786931,9.7893
919715,325011,9.7911
689299,200307,9.7912
531715,939619,9.7917
761859,584355,9.7938
668515,558531,9.7969
981619,116627,9.7980
379811,673539,9.7996
561107,150275,9.7998
995891,163987,9.8007
928163,212611,9.8020
304883,140611,9.8030
468291,114115,9.8037
539955,105539,9.8041
922067,221171,9.8042
952819,842787,9.8044
800227,210899,9.8086
958579,717107,9.8097
458579,291475,9.8111
286179,455075,9.8143
743363,665427,9.8150
78035,174787,9.8159
63235,11891,9.8172
910899,446659,9.8194
889539,299779,9.8198
112755,100467,9.8211
817075,813731,9.8217
853795,745171,9.8218
736915,159107,9.8219
40195,755,9.8228
345571,128435,9.8245
402195,375395,9.8247
268979,146563,9.8249
990739,153331,9.8260
579315,107155,9.8270
526547,83395,9.8275
68739,447027,9.8289
165059,44387,9.8313
361699,206659,9.8320
622547,142179,9.8322
689123,421699,9.8359
265523,169075,9.8374
309539,495971,9.8391
829027,327555,9.8398
991411,973267,9.8404
434835,652787,9.8412
802627,122707,9.8423
96435,763379,9.8426
757875,670259,9.8427
923891,849395,9.8429
364579,53491,9.8454
464691,147011,9.8466
462579,350675,9.8472
203715,41715,9.8510
148163,300467,9.8545
497667,780275,9.8579
297699,798115,9.8608
146627,74275,9.8626
166563,16867,9.8638
556355,514771,9.8640
729027,559091,9.8655
472067,386243,9.8660
915619,650323,9.8690
96291,42131,9.8710
521491,193683,9.8794
712451,986963,9.8802
232115,198579,9.8812
707475,596931,9.8838
349123,293987,9.8855
75107,54739,9.8870
891523,212643,9.8876
180211,103427,9.8897
514435,560243,9.8903
80659,80307,9.8904
411571,901603,9.8906
648371,91907,9.8907
476595,99811,9.8921
805843,780291,9.8922
562099,298243,9.8963
667331,6291,9.8983
572083,503779,9.8988
90403,449475,9.8992
139731,82435,9.8995
745523,408371,9.8997
773683,181123,9.9006
200083,64467,9.9053
49539,3523,9.9060
977491,296627,9.9099
959155,842755,9.9106
341475,28931,9.9112
422947,192579,9.9126
35619,972291,9.9131
265459,589555,9.9137
430019,86995,9.9145
789619,596739,9.9159
335795,326035,9.9163
414659,675955,9.9167
809507,549075,9.9192
622947,315171,9.9198
118227,95603,9.9199
153603,25187,9.9200
563827,86051,9.9200
213859,13379,9.9215
767507,801987,9.9219
652227,364723,9.9236
619587,222947,9.9272
743347,994675,9.9273
945187,718403,9.9279
822963,162019,9.9282
469299,335683,9.9292
930739,892899,9.9293
454211,281603,9.9297
530419,52339,9.9316
739507,530931,9.9323
920803,915,9.9331
751011,601475,9.9341
176979,8739,9.9343
497587,333475,9.9344
313443,615187,9.9346
568339,93923,9.9347
907811,824403,9.9367
781523,966675,9.9372
95139,13763,9.9373
618499,190419,9.9380
267283,59267,9.9387
143827,679107,9.9393
763363,468451,9.9447
54531,201747,9.9476
650931,298323,9.9484
372611,220979,9.9484
175555,809651,9.9490
64643,863251,9.9493
713907,771539,9.9495
629219,938115,9.9501
458931,739155,9.9506
518499,193027,9.9536
398099,195347,9.9537
212755,631219,9.9562
785603,530675,9.9563
160883,196563,9.9580
856259,499619,9.9589
194419,309507,9.9595
190755,267171,9.9602
517763,435283,9.9617
855555,761987,9.9631
567443,203187,9.9651
666675,765843,9.9653
240947,88307,9.9658
476915,642659,9.9669
563251,285443,9.9671
815923,199299,9.9685
516659,250067,9.9740
449539,507507,9.9747
590259,347443,9.9750
393283,80851,9.9757
367587,293299,9.9765
101139,979347,9.9831
641507,358051,9.9857
652755,702803,9.9865
962851,907475,9.9875
967427,714739,9.9876
800755,524755,9.9879
572915,258771,9.9887
710051,301251,9.9897
577651,908707,9.9897
814019,814003,9.9903
470851,406531,9.9926
17571,951123,9.9966
63075,933475,9.9968
493427,184403,9.9989
231204,624820,1.0018
949684,793092,1.0050
615140,131860,1.0065
819796,676756,1.0068
85076,877508,1.0069
224148,149812,1.0080
238356,234180,1.0093
225956,189940,1.0094
191108,4292,1.0147
489972,171652,1.0151
51380,26996,1.0193
796276,376452,1.0196
91476,44228,1.0211
376420,62468,1.0223
691844,588276,1.0228
468244,970516,1.0247
47892,845828,1.0250
772564,511476,1.0251
296276,128468,1.0263
34516,83460,1.0263
223300,956452,1.0264
660836,346772,1.0275
562004,118212,1.0275
485876,760500,1.0285
177924,833572,1.0314
201140,140820,1.0322
295572,323844,1.0333
680660,458548,1.0337
23524,796116,1.0343
611684,613044,1.0363
208244,31380,1.0364
438788,146548,1.0364
378180,850580,1.0369
502580,382932,1.0381
177668,1316,1.0383
102388,379700,1.0383
125556,269236,1.0385
371476,137636,1.0396
103636,5748,1.0398
106932,902980,1.0407
379076,493972,1.0410
103188,70052,1.0431
204964,86820,1.0437
681908,673540,1.0444
969396,527108,1.0453
917396,219492,1.0454
503108,324116,1.0466
649092,952004,1.0466
560612,605780,1.0473
216772,328116,1.0481
681764,981220,1.0498
488212,835716,1.0514
601924,353476,1.0552
482708,34084,1.0554
713076,422164,1.0555
539284,447636,1.0575
80404,323764,1.0577
314868,202948,1.0580
290916,126948,1.0587
749748,109284,1.0616
31892,1668,1.0618
523636,97396,1.0633
905252,606404,1.0663
879732,679076,1.0663
428452,169748,1.0692
622884,493172,1.0693
141140,841588,1.0744
597412,378724,1.0753
786852,593972,1.0755
822484,807108,1.0795
54996,128436,1.0808
891364,644932,1.0809
584868,71652,1.0816
265332,65076,1.0853
458868,125268,1.0855
717764,532404,1.0873
376308,534180,1.0877
986708,592468,1.0883
394100,887652,1.0922
199908,739028,1.0923
208852,591444,1.0934
622724,338260,1.0939
466756,24292,1.0944
82596,553140,1.0954
986420,50148,1.0974
594644,175460,1.0974
823444,578772,1.0975
836724,143172,1.0977
607284,358980,1.0982
231012,541284,1.0985
254244,711812,1.0989
75652,25972,1.0999
936116,627556,1.1015
57444,56244,1.1018
343444,157892,1.1044
183332,5348,1.1045
822756,74516,1.1051
90292,684884,1.1053
657236,407236,1.1072
133476,116852,1.1093
947108,146804,1.1099
428452,537924,1.1113
276180,57028,1.1126
830324,501732,1.1155
855316,677924,1.1156
627908,625604,1.1171
378548,647268,1.1178
95236,85380,1.1185
857764,656820,1.1191
651732,554196,1.1193
12308,770052,1.1206
227428,185892,1.1212
557060,951460,1.1229
261844,7204,1.1245
175652,85636,1.1247
737956,92036,1.1248
633988,579348,1.1280
683780,199460,1.1283
201908,539108,1.1289
374964,631284,1.1292
747204,617172,1.1330
329044,168868,1.1338
232132,466596,1.1366
188740,29252,1.1372
1860,918884,1.1376
486340,216996,1.1380
550084,705092,1.1389
528164,33348,1.1404
717812,370068,1.1409
399348,565284,1.1412
358548,299956,1.1422
448164,609636,1.1436
412148,452772,1.1436
426564,49268,1.1461
870068,317924,1.1492
596852,344148,1.1494
81380,63972,1.1496
370436,291588,1.1520
99012,94772,1.1526
818644,497268,1.1541
960196,401748,1.1553
745268,220500,1.1554
590708,77300,1.1564
151492,58372,1.1569
228292,339156,1.1570
916580,674244,1.1595
372036,24868,1.1601
960596,589876,1.1613
235268,22164,1.1617
190884,43812,1.1622
494788,583188,1.1653
802548,156884,1.1661
989540,529412,1.1674
993940,803924,1.1710
998276,269940,1.1713
494260,15588,1.1728
823332,177748,1.1733
954484,157044,1.1750
264948,260724,1.1750
127396,60916,1.1751
160420,27220,1.1756
958804,962772,1.1773
961844,310756,1.1784
886036,124372,1.1791
744676,706836,1.1802
743860,577492,1.1826
679204,96980,1.1830
155636,3140,1.1836
166644,11172,1.1841
573956,176452,1.1846
381348,107876,1.1849
579956,552452,1.1867
380244,427844,1.1877
808660,204484,1.1915
801588,428468,1.1921
261044,188980,1.1921
734020,525972,1.1938
321988,416452,1.1961
516788,131396,1.1969
852020,820708,1.1970
262196,125588,1.1982
65044,61300,1.1984
649156,290308,1.1986
817700,374212,1.2009
745492,419748,1.2022
434596,66052,1.2022
789924,715204,1.2040
793956,438868,1.2041
12244,380244,1.2042
883428,458756,1.2048
850996,139508,1.2059
309060,51652,1.2079
659300,429316,1.2079
841924,61684,1.2080
260628,412196,1.2098
267908,66196,1.2099
976900,580500,1.2102
563508,66724,1.2113
328068,688996,1.2117
343060,488804,1.2119
684212,183156,1.2123
495220,20804,1.2135
13908,84468,1.2151
558788,150852,1.2157
19812,81940,1.2159
801732,393620,1.2163
960596,847028,1.2174
568660,137620,1.2200
304452,948516,1.2216
618324,525156,1.2216
857476,778340,1.2229
820916,212484,1.2231
236372,114372,1.2259
76036,7652,1.2264
692196,355684,1.2299
76420,894036,1.2322
156164,574948,1.2333
569012,304980,1.2365
138756,451796,1.2373
637236,795028,1.2406
290116,90500,1.2416
770084,306228,1.2417
280404,9812,1.2434
465188,336324,1.2450
500548,173044,1.2451
498788,250340,1.2454
543908,353716,1.2463
64900,14292,1.2466
54276,47588,1.2479
817924,575604,1.2500
525476,54532,1.2502
606116,821444,1.2516
165444,99780,1.2520
649956,137764,1.2524
87588,10852,1.2526
494612,93892,1.2528
204484,1444,1.2528
13332,6436,1.2545
380820,355524,1.2568
272068,536052,1.2577
495796,164452,1.2597
67988,15124,1.2606
256116,80212,1.2637
9652,163700,1.2637
564436,546660,1.2646
564740,430516,1.2652
852452,363300,1.2656
265732,127620,1.2671
207220,203972,1.2690
873156,58228,1.2698
330260,354084,1.2724
363860,189604,1.2728
458532,368196,1.2739
744820,15524,1.2745
402580,565732,1.2747
256532,165396,1.2747
317060,421732,1.2750
867252,582292,1.2754
96900,88308,1.2767
319252,181572,1.2770
767828,455076,1.2778
875956,118788,1.2778
54036,38964,1.2789
389044,792980,1.2800
330660,203476,1.2800
288356,199316,1.2803
207412,164628,1.2819
544356,523972,1.2823
248500,324788,1.2832
677572,55604,1.2849
357828,269652,1.2853
299524,137044,1.2858
697348,206356,1.2867
435380,96132,1.2880
138580,543108,1.2889
25860,816724,1.2901
3716,3620,1.2906
371780,275508,1.2913
574804,939844,1.2916
982084,200132,1.2925
477444,931028,1.2927
465300,404484,1.2933
113876,81028,1.2939
677460,444212,1.2952
806580,693604,1.2953
533236,884116,1.2962
790036,80164,1.2978
394036,50564,1.3021
205684,647364,1.3036
177684,92724,1.3045
849124,182676,1.3079
966356,814020,1.3091
355748,882980,1.3098
294132,125780,1.3099
284100,245060,1.3101
605748,236420,1.3114
494676,133860,1.3124
586772,113380,1.3130
435652,718836,1.3147
486980,334052,1.3152
419332,432100,1.3155
452708,400164,1.3157
212996,202724,1.3172
724148,462452,1.3180
525380,907220,1.3187
659140,314660,1.3187
378740,203220,1.3189
473828,99988,1.3250
387972,153716,1.3267
122708,71316,1.3271
146100,48708,1.3288
301156,110244,1.3298
701348,578724,1.3308
619796,475604,1.3309
50516,45252,1.3309
83252,21620,1.3310
136356,56868,1.3340
82436,389092,1.3341
770980,579876,1.3341
746740,158276,1.3363
362676,329316,1.3385
891492,496452,1.3389
719108,691748,1.3391
200820,2932,1.3405
96212,10916,1.3413
30260,950708,1.3421
327700,495444,1.3424
872644,487460,1.3433
206868,680404,1.3452
545604,614756,1.3463
397620,910084,1.3479
492564,479348,1.3480
758436,478612,1.3551
168292,350180,1.3551
432964,229396,1.3557
94884,839204,1.3558
102228,666580,1.3561
559108,597636,1.3576
645012,915476,1.3578
264148,252804,1.3607
88900,61412,1.3613
277988,168836,1.3614
263460,41268,1.3620
532676,493572,1.3625
86740,88452,1.3644
948932,617988,1.3664
344484,69156,1.3685
500132,466340,1.3691
279108,259940,1.3728
11204,464852,1.3729
513460,471764,1.3729
193652,78964,1.3744
504324,406612,1.3746
584116,43268,1.3750
912660,129940,1.3764
867076,612276,1.3767
21876,769172,1.3776
235716,23524,1.3786
859524,736324,1.3789
464116,86660,1.3799
549380,3476,1.3802
841780,531412,1.3808
251332,232068,1.3834
758820,705188,1.3847
26964,263252,1.3847
578228,984724,1.3868
859652,179092,1.3872
729604,316836,1.3877
757220,602548,1.3886
526516,167716,1.3889
442276,164404,1.3901
443444,68116,1.3907
57972,868324,1.3914
738068,452468,1.3918
753732,858660,1.3932
646228,947604,1.3935
448948,776676,1.3938
902324,865796,1.3944
734628,237156,1.3955
51652,346628,1.3957
584036,353508,1.3958
665300,19604,1.3960
448756,346196,1.3991
895572,869444,1.3992
613604,843972,1.3993
632052,45316,1.4007
609652,390148,1.4012
245540,26132,1.4015
416484,188916,1.4019
900036,946324,1.4034
801924,13156,1.4039
281620,128484,1.4058
953156,964084,1.4065
45972,25220,1.4067
744468,720484,1.4074
210004,175972,1.4084
399124,120964,1.4114
163860,82260,1.4115
973588,160276,1.4140
149652,556004,1.4161
493812,148852,1.4164
606484,68996,1.4176
350900,168436,1.4183
168676,38612,1.4184
395012,304164,1.4188
101812,53892,1.4206
64740,87188,1.4208
514788,453092,1.4239
188452,740852,1.4251
278036,306740,1.4256
965140,292196,1.4268
125252,122916,1.4279
489604,168548,1.4287
422516,15364,1.4307
979028,579380,1.4317
830836,800116,1.4317
365684,207652,1.4336
548868,552772,1.4383
34724,10468,1.4387
937284,840228,1.4394
307204,145844,1.4399
255444,498132,1.4412
492516,965700,1.4412
741844,160180,1.4428
496612,490436,1.4429
988708,940420,1.4430
809588,377012,1.4499
639972,259284,1.4501
855332,503300,1.4533
402708,803780,1.4537
253476,99412,1.4541
556708,206836,1.4543
446372,110868,1.4544
957796,416900,1.4556
14068,7364,1.4567
567172,236100,1.4617
72324,562260,1.4628
812308,785892,1.4632
155028,77284,1.4636
97604,12820,1.4638
246468,956596,1.4639
979572,863300,1.4646
836180,405508,1.4655
46292,8756,1.4664
235540,138020,1.4691
105860,52500,1.4691
563524,631140,1.4726
746532,135924,1.4743
317284,179748,1.4744
902644,266500,1.4809
425908,702676,1.4819
593956,409092,1.4832
379044,44852,1.4834
194404,50980,1.4842
612756,634564,1.4856
619492,708036,1.4919
856244,113572,1.4942
334724,134148,1.4948
58212,19540,1.4951
993140,160964,1.4952
587572,200036,1.4959
694996,440564,1.4980
818724,152324,1.4986
226708,208132,1.4997
371236,164996,1.5004
793092,297460,1.5016
368372,345476,1.5029
978532,882356,1.5031
614468,246388,1.5041
122420,844596,1.5048
532772,813204,1.5064
920068,569540,1.5064
399524,108852,1.5090
700004,450180,1.5092
287364,71684,1.5110
462868,716308,1.5144
160452,48132,1.5146
891508,853508,1.5151
723876,701876,1.5163
834820,346260,1.5165
523668,470004,1.5178
633956,268116,1.5179
24212,9348,1.5188
731364,659492,1.5196
211572,197956,1.5196
9556,6932,1.5197
518564,936436,1.5211
935316,711460,1.5214
169236,40612,1.5230
441316,97444,1.5234
424084,66484,1.5236
702852,165476,1.5242
488756,449908,1.5251
127236,47636,1.5253
796308,80916,1.5269
560036,445924,1.5270
842212,50676,1.5272
524036,165204,1.5274
612324,212548,1.5280
184548,10196,1.5291
651572,226196,1.5302
436404,407316,1.5328
84372,389108,1.5331
81028,396564,1.5332
384132,729668,1.5356
216164,130500,1.5384
119300,118756,1.5389
99972,515700,1.5389
968532,721108,1.5392
261140,532708,1.5421
872612,473940,1.5444
200724,581620,1.5449
50276,421284,1.5458
773284,581828,1.5461
193844,155988,1.5474
638068,456292,1.5478
295652,220036,1.5482
79444,307508,1.5485
677828,339108,1.5492
853652,392260,1.5506
564020,510260,1.5514
664820,464692,1.5523
551364,97188,1.5537
741556,532180,1.5539
326100,827572,1.5542
925364,845172,1.5544
17876,752052,1.5552
467364,102612,1.5552
444324,827124,1.5553
920340,566228,1.5553
718420,964292,1.5581
306708,187844,1.5584
54628,7524,1.5587
717908,778980,1.5587
952068,336788,1.5591
109220,83076,1.5605
269252,81364,1.5622
930900,613860,1.5632
800660,207060,1.5636
720388,187748,1.5638
889636,319524,1.5680
98228,77476,1.5682
349268,59780,1.5690
827156,640916,1.5692
68276,52356,1.5706
827940,183924,1.5728
64100,183956,1.5758
792932,358708,1.5766
797876,437492,1.5804
708484,370804,1.5811
184740,29796,1.5829
41204,750532,1.5830
234004,766980,1.5846
202772,112308,1.5863
167668,153892,1.5875
81604,15556,1.5886
215204,52004,1.5887
951412,983444,1.5902
408612,165988,1.5909
883412,148708,1.5910
813908,230356,1.5930
670628,234484,1.5939
727284,348852,1.5940
492420,452068,1.5948
877172,638964,1.5958
264772,194308,1.5969
517220,970292,1.5970
85140,271796,1.5981
398852,114580,1.5990
822788,858708,1.6010
901844,656660,1.6013
338164,648916,1.6022
254404,54788,1.6026
740724,447300,1.6032
381076,357140,1.6035
539684,664660,1.6041
143268,19732,1.6059
804996,736500,1.6068
876772,15332,1.6072
496980,35220,1.6090
365476,200308,1.6091
899940,15764,1.6104
373988,194292,1.6105
850516,228916,1.6114
565092,757028,1.6124
778820,942036,1.6129
494212,359668,1.6138
440068,301604,1.6157
949428,419220,1.6158
41268,637060,1.6160
473012,226596,1.6184
581412,516340,1.6223
104404,299972,1.6226
553540,753492,1.6261
147908,124724,1.6272
900628,240900,1.6317
376724,811332,1.6336
594740,465316,1.6343
461588,86484,1.6347
747668,38388,1.6347
718980,241028,1.6389
816516,659972,1.6392
437620,146932,1.6403
458244,348340,1.6405
835844,506212,1.6407
135492,521908,1.6414
879188,394420,1.6440
529428,274676,1.6456
707764,735988,1.6456
169604,79972,1.6459
150564,66548,1.6468
197332,215444,1.6497
768036,548884,1.6519
298660,156452,1.6529
134884,131364,1.6531
653220,154388,1.6534
195316,138068,1.6555
742020,313652,1.6564
798372,57284,1.6606
268132,11828,1.6613
499412,526660,1.6620
263540,998228,1.6654
577332,417924,1.6670
28484,493236,1.6684
48340,871940,1.6689
532308,168292,1.6690
91460,36436,1.6699
636324,697412,1.6706
601508,132324,1.6710
72980,702580,1.6723
666132,333156,1.6754
830388,326116,1.6761
918836,198980,1.6779
943556,794916,1.6803
196644,660484,1.6806
571156,213492,1.6809
661140,350372,1.6815
311124,202916,1.6820
771092,386868,1.6836
798324,641668,1.6845
49588,287780,1.6868
875940,452516,1.6869
665780,473444,1.6870
242868,152484,1.6872
889444,462244,1.6889
494116,303924,1.6889
994996,932260,1.6894
916132,847108,1.6909
968804,950420,1.6919
938292,730292,1.6935
251460,722868,1.6940
254596,223988,1.6941
591268,71396,1.6943
153556,93700,1.6944
88756,76596,1.6956
376340,767124,1.6981
538644,72420,1.6995
792724,213812,1.6996
253332,726996,1.7003
384580,355700,1.7026
226180,420948,1.7039
335220,259508,1.7062
940740,628388,1.7064
559460,35060,1.7077
223844,275508,1.7082
875668,623892,1.7085
686772,268292,1.7086
123076,91460,1.7093
864788,365828,1.7107
901108,173460,1.7125
830948,394148,1.7140
6276,1460,1.7156
456148,395956,1.7170
401972,275780,1.7177
747940,246564,1.7185
427460,34164,1.7201
150820,403796,1.7220
46676,39732,1.7231
991892,626532,1.7231
827476,553284,1.7240
53156,45012,1.7240
308500,153268,1.7247
529860,284836,1.7249
772836,365556,1.7262
825412,700212,1.7302
56148,400820,1.7325
493700,51012,1.7330
557748,744740,1.7349
963236,45748,1.7354
713476,964100,1.7356
58644,151812,1.7362
560004,516356,1.7368
839060,806852,1.7373
494148,334404,1.7373
