u,v,weight
75136,334288,1.3289
538272,102336,1.3293
358560,246752,1.3294
366816,832,1.3299
860528,729728,1.3300
188896,65760,1.3301
96880,80512,1.3304
107312,495360,1.3309
404784,434848,1.3361
452416,837520,1.3377
690112,272160,1.3393
582832,306144,1.3413
582128,360032,1.3418
651696,882976,1.3439
155376,510880,1.3473
248512,258416,1.3474
49536,32944,1.3500
814384,407344,1.3500
670224,176352,1.3514
358576,312000,1.3548
577680,250768,1.3554
284160,224832,1.3567
686176,608320,1.3583
325632,581856,1.3615
646944,623024,1.3641
84352,33456,1.3645
267760,401872,1.3651
656272,444752,1.3657
170880,959840,1.3670
888464,564272,1.3678
66752,3120,1.3688
620416,237088,1.3713
4096,797232,1.3714
237168,71408,1.3719
11888,6128,1.3731
76160,97024,1.3748
897248,671680,1.3765
748608,303296,1.3774
528528,974032,1.3783
736752,336752,1.3786
980880,395760,1.3792
425248,997216,1.3820
280608,238816,1.3827
674480,80224,1.3845
541136,906656,1.3849
562896,87376,1.3864
550144,219008,1.3879
375392,761488,1.3913
316256,114784,1.3981
944032,169968,1.4017
827104,38288,1.4043
167280,161232,1.4064
321200,285056,1.4097
611296,48544,1.4110
678528,250096,1.4117
935792,12288,1.4121
175712,16,1.4153
423712,787600,1.4156
689936,25984,1.4161
421968,638832,1.4165
724128,220240,1.4172
561216,151728,1.4216
374080,480304,1.4216
248176,247968,1.4222
203296,36816,1.4242
287328,120080,1.4286
823280,42832,1.4290
660944,62208,1.4290
517248,309376,1.4295
550096,889568,1.4296
590624,529824,1.4304
160704,27008,1.4312
357504,227840,1.4314
611776,564384,1.4322
633600,422992,1.4337
619264,24944,1.4352
141248,88864,1.4354
667472,368144,1.4361
859856,466496,1.4399
6624,830512,1.4400
772400,122864,1.4408
701824,866640,1.4411
491312,354416,1.4417
406592,56688,1.4427
984112,691296,1.4438
74112,296032,1.4450
592560,295152,1.4458
928608,401616,1.4462
989760,871056,1.4463
963664,698384,1.4467
64112,421952,1.4467
66064,999952,1.4468
851104,233488,1.4472
547168,291312,1.4515
621440,439968,1.4537
198800,102656,1.4546
335200,75024,1.4570
376752,508176,1.4585
166480,691296,1.4594
426032,30608,1.4600
121632,760800,1.4618
292512,233984,1.4634
677872,456096,1.4661
946032,397360,1.4691
218800,814960,1.4705
776320,238848,1.4707
503040,229568,1.4710
488592,416048,1.4712
211952,771136,1.4719
71952,66656,1.4722
980512,712240,1.4742
496128,53376,1.4745
947616,752816,1.4746
101248,477232,1.4759
922160,299168,1.4779
988016,449248,1.4824
724560,26208,1.4840
67088,54592,1.4855
422688,209104,1.4858
789920,112160,1.4874
915008,744240,1.4876
6960,358960,1.4878
833968,136384,1.4885
121888,459968,1.4940
270896,529056,1.4971
723584,705328,1.4997
882080,138240,1.5005
74448,201792,1.5009
474640,770960,1.5043
527920,249040,1.5058
168256,71968,1.5120
309680,282992,1.5135
912832,616784,1.5136
217856,10144,1.5138
912976,450656,1.5146
243616,399264,1.5158
427184,28400,1.5176
702224,812016,1.5184
333648,245232,1.5202
556880,216880,1.5205
715360,288208,1.5223
981104,6096,1.5228
793744,265776,1.5250
216704,1680,1.5257
427328,166512,1.5260
607744,730752,1.5275
399312,387888,1.5279
182864,2368,1.5304
157536,14448,1.5307
976416,917440,1.5312
972976,588752,1.5336
273216,129104,1.5338
395696,800512,1.5356
925920,996000,1.5357
717280,108768,1.5358
260304,226480,1.5369
508560,141888,1.5371
997248,879440,1.5383
